TEAM,SEASON,AVG_TIME
Arsenal,1999-00,4.1
Aston Villa,1999-00,2.9
Bradford City,1999-00,1.8
Chelsea,1999-00,2.9
Coventry City,1999-00,2.4
Derby County,1999-00,2.0
Everton,1999-00,2.5
Leeds United,1999-00,2.7
Leicester City,1999-00,3.0
Liverpool,1999-00,2.9
Manchester United,1999-00,3.7
Middlesbrough,1999-00,3.4
Newcastle United,1999-00,2.2
Sheffield Wednesday,1999-00,2.9
Southampton,1999-00,3.1
Sunderland,1999-00,2.3
Tottenham Hotspur,1999-00,3.0
Watford,1999-00,2.9
West Ham United,1999-00,2.6
Wimbledon,1999-00,4.1
Arsenal,2000-01,4.1
Aston Villa,2000-01,2.7
Bradford City,2000-01,2.2
Charlton Athletic,2000-01,2.9
Chelsea,2000-01,2.5
Coventry City,2000-01,2.2
Derby County,2000-01,2.0
Everton,2000-01,2.4
Ipswich Town,2000-01,2.3
Leeds United,2000-01,2.9
Leicester City,2000-01,2.4
Liverpool,2000-01,2.4
Manchester City,2000-01,2.4
Manchester United,2000-01,4.5
Middlesbrough,2000-01,3.2
Newcastle United,2000-01,2.6
Southampton,2000-01,4.0
Sunderland,2000-01,2.4
Tottenham Hotspur,2000-01,3.3
West Ham United,2000-01,2.8
Arsenal,2001-02,3.9
Aston Villa,2001-02,2.8
Blackburn Rovers,2001-02,2.5
Bolton Wanderers,2001-02,1.9
Charlton Athletic,2001-02,3.3
Chelsea,2001-02,2.6
Derby County,2001-02,2.4
Everton,2001-02,2.3
Fulham,2001-02,2.3
Ipswich Town,2001-02,2.2
Leeds United,2001-02,3.6
Leicester City,2001-02,2.1
Liverpool,2001-02,3.0
Manchester United,2001-02,4.9
Middlesbrough,2001-02,3.1
Newcastle United,2001-02,3.2
Southampton,2001-02,3.8
Sunderland,2001-02,2.7
Tottenham Hotspur,2001-02,3.0
West Ham United,2001-02,3.3
Arsenal,2002-03,3.6
Aston Villa,2002-03,2.8
Birmingham City,2002-03,2.4
Blackburn Rovers,2002-03,2.5
Bolton Wanderers,2002-03,2.4
Charlton Athletic,2002-03,3.6
Chelsea,2002-03,3.4
Everton,2002-03,2.3
Fulham,2002-03,2.6
Leeds United,2002-03,3.7
Liverpool,2002-03,2.9
Manchester City,2002-03,2.3
Manchester United,2002-03,4.3
Middlesbrough,2002-03,2.2
Newcastle United,2002-03,3.3
Southampton,2002-03,3.8
Sunderland,2002-03,3.0
Tottenham Hotspur,2002-03,3.1
West Bromwich Albion,2002-03,2.6
West Ham United,2002-03,3.0
Arsenal,2003-04,3.5
Aston Villa,2003-04,3.1
Birmingham City,2003-04,2.9
Blackburn Rovers,2003-04,2.2
Bolton Wanderers,2003-04,2.0
Charlton Athletic,2003-04,3.1
Chelsea,2003-04,2.6
Everton,2003-04,3.0
Fulham,2003-04,2.3
Leeds United,2003-04,3.3
Leicester City,2003-04,2.3
Liverpool,2003-04,3.1
Manchester City,2003-04,1.9
Manchester United,2003-04,4.1
Middlesbrough,2003-04,2.4
Newcastle United,2003-04,3.8
Portsmouth,2003-04,1.4
Southampton,2003-04,3.4
Tottenham Hotspur,2003-04,2.9
Wolverhampton Wanderers,2003-04,2.3
Arsenal,2004-05,3.1
Aston Villa,2004-05,3.4
Birmingham City,2004-05,1.7
Blackburn Rovers,2004-05,2.3
Bolton Wanderers,2004-05,2.2
Charlton Athletic,2004-05,3.2
Chelsea,2004-05,2.4
Crystal Palace,2004-05,1.9
Everton,2004-05,2.8
Fulham,2004-05,2.2
Liverpool,2004-05,3.0
Manchester City,2004-05,2.2
Manchester United,2004-05,4.2
Middlesbrough,2004-05,2.6
Newcastle United,2004-05,3.3
Norwich City,2004-05,2.3
Portsmouth,2004-05,1.8
Southampton,2004-05,2.7
Tottenham Hotspur,2004-05,2.0
West Bromwich Albion,2004-05,1.8
Arsenal,2005-06,3.0
Aston Villa,2005-06,2.9
Birmingham City,2005-06,2.2
Blackburn Rovers,2005-06,2.7
Bolton Wanderers,2005-06,2.6
Charlton Athletic,2005-06,2.5
Chelsea,2005-06,2.8
Everton,2005-06,2.6
Fulham,2005-06,2.3
Liverpool,2005-06,2.8
Manchester City,2005-06,2.4
Manchester United,2005-06,4.5
Middlesbrough,2005-06,2.9
Newcastle United,2005-06,3.1
Portsmouth,2005-06,1.6
Sunderland,2005-06,2.0
Tottenham Hotspur,2005-06,2.2
West Bromwich Albion,2005-06,2.0
West Ham United,2005-06,1.8
Wigan Athletic,2005-06,1.9
Arsenal,2006-07,3.0
Aston Villa,2006-07,3.1
Blackburn Rovers,2006-07,2.2
Bolton Wanderers,2006-07,2.6
Charlton Athletic,2006-07,2.4
Chelsea,2006-07,2.6
Everton,2006-07,3.0
Fulham,2006-07,2.2
Liverpool,2006-07,2.5
Manchester City,2006-07,2.3
Manchester United,2006-07,4.4
Middlesbrough,2006-07,3.0
Newcastle United,2006-07,2.9
Portsmouth,2006-07,2.0
Reading,2006-07,2.1
Sheffield United,2006-07,2.2
Tottenham Hotspur,2006-07,2.3
Watford,2006-07,2.1
West Ham United,2006-07,1.7
Wigan Athletic,2006-07,1.8
Arsenal,2007-08,2.7
Aston Villa,2007-08,2.6
Birmingham City,2007-08,1.8
Blackburn Rovers,2007-08,2.3
Bolton Wanderers,2007-08,2.5
Chelsea,2007-08,2.8
Derby County,2007-08,1.4
Everton,2007-08,2.5
Fulham,2007-08,1.9
Liverpool,2007-08,2.5
Manchester City,2007-08,2.0
Manchester United,2007-08,4.4
Middlesbrough,2007-08,2.9
Newcastle United,2007-08,2.7
Portsmouth,2007-08,2.1
Reading,2007-08,2.6
Sunderland,2007-08,1.5
Tottenham Hotspur,2007-08,2.4
West Ham United,2007-08,2.1
Wigan Athletic,2007-08,1.3
Arsenal,2008-09,2.8
Aston Villa,2008-09,2.2
Blackburn Rovers,2008-09,2.5
Bolton Wanderers,2008-09,2.9
Chelsea,2008-09,3.3
Everton,2008-09,2.5
Fulham,2008-09,1.7
Hull City,2008-09,2.2
Liverpool,2008-09,2.7
Manchester City,2008-09,2.0
Manchester United,2008-09,3.9
Middlesbrough,2008-09,2.8
Newcastle United,2008-09,2.8
Portsmouth,2008-09,2.1
Stoke City,2008-09,1.8
Sunderland,2008-09,1.8
Tottenham Hotspur,2008-09,1.9
West Bromwich Albion,2008-09,1.8
West Ham United,2008-09,2.1
Wigan Athletic,2008-09,1.7
Arsenal,2009-10,3.2
Aston Villa,2009-10,2.0
Birmingham City,2009-10,2.2
Blackburn Rovers,2009-10,2.4
Bolton Wanderers,2009-10,2.9
Burnley,2009-10,2.0
Chelsea,2009-10,3.4
Everton,2009-10,2.9
Fulham,2009-10,1.9
Hull City,2009-10,2.4
Liverpool,2009-10,3.0
Manchester City,2009-10,2.0
Manchester United,2009-10,4.6
Portsmouth,2009-10,2.1
Stoke City,2009-10,2.3
Sunderland,2009-10,2.1
Tottenham Hotspur,2009-10,2.4
West Ham United,2009-10,2.1
Wigan Athletic,2009-10,1.8
Wolverhampton Wanderers,2009-10,2.5
Arsenal,2010-11,3.9
Aston Villa,2010-11,2.4
Birmingham City,2010-11,2.3
Blackburn Rovers,2010-11,2.5
Blackpool,2010-11,2.1
Bolton Wanderers,2010-11,3.0
Chelsea,2010-11,3.9
Everton,2010-11,3.6
Fulham,2010-11,2.3
Liverpool,2010-11,2.9
Manchester City,2010-11,2.1
Manchester United,2010-11,5.1
Newcastle United,2010-11,2.9
Stoke City,2010-11,2.6
Sunderland,2010-11,2.1
Tottenham Hotspur,2010-11,3.0
West Bromwich Albion,2010-11,2.1
West Ham United,2010-11,2.4
Wigan Athletic,2010-11,1.8
Wolverhampton Wanderers,2010-11,2.3
Arsenal,2011-12,3.2
Aston Villa,2011-12,2.5
Blackburn Rovers,2011-12,2.7
Bolton Wanderers,2011-12,2.8
Chelsea,2011-12,4.2
Everton,2011-12,3.2
Fulham,2011-12,2.4
Liverpool,2011-12,3.6
Manchester City,2011-12,2.5
Manchester United,2011-12,4.2
Newcastle United,2011-12,3.3
Norwich City,2011-12,2.2
QPR,2011-12,2.1
Stoke City,2011-12,3.2
Sunderland,2011-12,2.1
Swansea City,2011-12,2.3
Tottenham Hotspur,2011-12,3.1
West Bromwich Albion,2011-12,2.3
Wigan Athletic,2011-12,2.3
Wolverhampton Wanderers,2011-12,3.1
Arsenal,2012-13,3.2
Aston Villa,2012-13,2.5
Chelsea,2012-13,3.8
Everton,2012-13,3.4
Fulham,2012-13,2.3
Liverpool,2012-13,3.4
Manchester City,2012-13,2.6
Manchester United,2012-13,4.3
Newcastle United,2012-13,3.1
Norwich City,2012-13,2.2
QPR,2012-13,1.6
Reading,2012-13,3.0
Southampton,2012-13,2.2
Stoke City,2012-13,3.0
Sunderland,2012-13,2.0
Swansea City,2012-13,2.6
Tottenham Hotspur,2012-13,3.5
West Bromwich Albion,2012-13,2.7
West Ham United,2012-13,2.0
Wigan Athletic,2012-13,2.5
Arsenal,2013-14,3.7
Aston Villa,2013-14,2.6
Cardiff City,2013-14,1.9
Chelsea,2013-14,3.4
Crystal Palace,2013-14,1.8
Everton,2013-14,3.4
Fulham,2013-14,2.0
Hull City,2013-14,1.8
Liverpool,2013-14,3.1
Manchester City,2013-14,3.2
Manchester United,2013-14,5.2
Newcastle United,2013-14,3.4
Norwich City,2013-14,1.8
Southampton,2013-14,2.4
Stoke City,2013-14,2.9
Sunderland,2013-14,1.7
Swansea City,2013-14,2.7
Tottenham Hotspur,2013-14,3.0
West Bromwich Albion,2013-14,2.8
West Ham United,2013-14,2.1
Arsenal,2014-15,3.6
Aston Villa,2014-15,3.0
Burnley,2014-15,2.4
Chelsea,2014-15,3.1
Crystal Palace,2014-15,2.1
Everton,2014-15,3.4
Hull City,2014-15,2.1
Leicester City,2014-15,2.5
Liverpool,2014-15,3.1
Manchester City,2014-15,3.2
Manchester United,2014-15,3.8
Newcastle United,2014-15,3.2
QPR,2014-15,2.4
Southampton,2014-15,2.2
Stoke City,2014-15,3.2
Sunderland,2014-15,1.9
Swansea City,2014-15,2.7
Tottenham Hotspur,2014-15,3.3
West Bromwich Albion,2014-15,2.8
West Ham United,2014-15,2.4
Bournemouth,2015-16,2.4
Arsenal,2015-16,3.7
Aston Villa,2015-16,2.6
Chelsea,2015-16,3.2
Crystal Palace,2015-16,2.7
Everton,2015-16,3.7
Leicester City,2015-16,2.5
Liverpool,2015-16,2.7
Manchester City,2015-16,3.3
Manchester United,2015-16,2.9
Newcastle United,2015-16,3.3
Norwich City,2015-16,2.6
Southampton,2015-16,2.4
Stoke City,2015-16,2.6
Sunderland,2015-16,2.1
Swansea City,2015-16,2.9
Tottenham Hotspur,2015-16,3.2
Watford,2015-16,1.6
West Bromwich Albion,2015-16,2.7
West Ham United,2015-16,2.3
Bournemouth,2016-17,2.8
Arsenal,2016-17,4.0
Burnley,2016-17,2.4
Chelsea,2016-17,3.6
Crystal Palace,2016-17,2.4
Everton,2016-17,2.9
Hull City,2016-17,1.7
Leicester City,2016-17,2.6
Liverpool,2016-17,2.4
Manchester City,2016-17,3.2
Manchester United,2016-17,3.8
Middlesbrough,2016-17,1.8
Southampton,2016-17,2.1
Stoke City,2016-17,3.2
Sunderland,2016-17,2.0
Swansea City,2016-17,2.8
Tottenham Hotspur,2016-17,2.9
Watford,2016-17,1.4
West Bromwich Albion,2016-17,3.2
West Ham United,2016-17,2.3
